noticeIdentifier,noticeVersion,contractIdentifier,changeNoticeVersionIdentifier,changeReasonCode,changeReasonDescription
3678614b-4cd2-4a0b-9d07-b3bf8b21c1cb,01,CON-0001,19541c73-c23a-4bb3-9719-c256c93db045-01,add-wss,"MKA 108 - Ein Auftragnehmerwechsel wäre wirtschaftlich nicht vertretbar, da der bisherige Auftragnehmer bereits über projektspezifische Kenntnisse, Planungsstände, Abstimmungsergebnisse sowie örtliche und technische Detailkenntnisse verfügt. Die Einarbeitung eines neuen Auftragnehmers würde zu zusätzlichem Koordinations , Prüf und Abstimmungsaufwand, Doppelarbeiten sowie zu Verzögerungen im Planungs und Bauablauf führen, wodurch Synergieeffekte verloren gehen. Es bestünden zudem erhebliche Schnittstellen und Haftungsrisiken, ein erhöhter Abstimmungsbedarf sowie die Gefahr widersprüchlicher Planungsergebnisse. Die Vergabe der zusätzlichen Leistungen an einen anderen Auftragnehmer wäre mit erheblichen Schwierigkeiten verbunden, da die Leistungen technisch, inhaltlich und zeitlich eng mit den bereits erbrachten und noch zu erbringenden Leistungen des bestehenden Auftragnehmers verzahnt sind. Darüber hinaus würden zusätzliche Kosten durch Mehrfachprüfungen, Koordinationsleistungen und Terminverschiebungen entstehen.
MKA 109 - Ein Auftragnehmerwechsel wäre wirtschaftlich nicht vertretbar, da der bisherige Auftragnehmer bereits über projektspezifische Kenntnisse, Planungsstände, Abstimmungsergebnisse sowie örtliche und technische Detailkenntnisse verfügt. Die Einarbeitung eines neuen Auftragnehmers würde zu zusätzlichem Koordinations , Prüf und Abstimmungsaufwand, Doppelarbeiten sowie zu Verzögerungen im Planungs und Bauablauf führen, wodurch Synergieeffekte verloren gehen. Es bestünden zudem erhebliche Schnittstellen und Haftungsrisiken, ein erhöhter Abstimmungsbedarf sowie die Gefahr widersprüchlicher Planungsergebnisse. Die Vergabe der zusätzlichen Leistungen an einen anderen Auftragnehmer wäre mit erheblichen Schwierigkeiten verbunden, da die Leistungen technisch, inhaltlich und zeitlich eng mit den bereits erbrachten und noch zu erbringenden Leistungen des bestehenden Auftragnehmers verzahnt sind. Darüber hinaus würden zusätzliche Kosten durch Mehrfachprüfungen, Koordinationsleistungen und Terminverschiebungen entstehen.
MKA 110 - Ein Auftragnehmerwechsel wäre wirtschaftlich nicht vertretbar, da der bisherige Auftragnehmer bereits über projektspezifische Kenntnisse, Planungsstände, Abstimmungsergebnisse sowie örtliche und technische Detailkenntnisse verfügt. Die Einarbeitung eines neuen Auftragnehmers würde zu zusätzlichem Koordinations , Prüf und Abstimmungsaufwand, Doppelarbeiten sowie zu Verzögerungen im Planungs und Bauablauf führen, wodurch Synergieeffekte verloren gehen. Es bestünden zudem erhebliche Schnittstellen und Haftungsrisiken, ein erhöhter Abstimmungsbedarf sowie die Gefahr widersprüchlicher Planungsergebnisse. Die Vergabe der zusätzlichen Leistungen an einen anderen Auftragnehmer wäre mit erheblichen Schwierigkeiten verbunden, da die Leistungen technisch, inhaltlich und zeitlich eng mit den bereits erbrachten und noch zu erbringenden Leistungen des bestehenden Auftragnehmers verzahnt sind. Darüber hinaus würden zusätzliche Kosten durch Mehrfachprüfungen, Koordinationsleistungen und Terminverschiebungen entstehen.
MKA 111 - Ein Auftragnehmerwechsel wäre wirtschaftlich nicht vertretbar, da der bisherige Auftragnehmer bereits über projektspezifische Kenntnisse, Planungsstände, Abstimmungsergebnisse sowie örtliche und technische Detailkenntnisse verfügt. Die Einarbeitung eines neuen Auftragnehmers würde zu zusätzlichem Koordinations , Prüf und Abstimmungsaufwand, Doppelarbeiten sowie zu Verzögerungen im Planungs und Bauablauf führen, wodurch Synergieeffekte verloren gehen. Es bestünden zudem erhebliche Schnittstellen und Haftungsrisiken, ein erhöhter Abstimmungsbedarf sowie die Gefahr widersprüchlicher Planungsergebnisse. Die Vergabe der zusätzlichen Leistungen an einen anderen Auftragnehmer wäre mit erheblichen Schwierigkeiten verbunden, da die Leistungen technisch, inhaltlich und zeitlich eng mit den bereits erbrachten und noch zu erbringenden Leistungen des bestehenden Auftragnehmers verzahnt sind. Darüber hinaus würden zusätzliche Kosten durch Mehrfachprüfungen, Koordinationsleistungen und Terminverschiebungen entstehen."
63de9706-6f8e-416b-9d0c-617396a34c87,01,CON-0001,41177-2024,mod-cir,technisch notwendig
3416f20b-ef8f-4c6f-93f1-ccdaad7ed079,01,,6046b886-1ae8-4fc6-a215-3ecea93bb3ac-01,cor-buy,.
c08a2d81-686f-463a-8dba-252b629bfd0a,01,,76e77d7a-f680-4954-a500-41b62997274a-01,cor-buy,"Änderung der Bekanntmachung. Der Bedarf der Lausitzer und Mitteldeutsche 
Bergbau-Verwaltungsgesellschaft mbH (Los 9 und 11) wurde zurückgezogen."
e4037a44-d382-4130-95c5-b24bacec472a,01,,8d6fbdab-83ef-4d98-8b1a-e56a2a248525-01,cor-pub,"Im Rahmen der Prüfung einer Bieterfrage wurde festgestellt, dass im Titel 02.01 des Leistungsverzeichnisses ein Anteil der Bauwasserversorgungsanlage bislang nicht berücksichtigt war.
Das Leistungsverzeichnis wurde daher entsprechend ergänzt."
0991a754-c9fb-47f7-841c-63d3e0dbf409,01,,c72fd1b1-e9cd-4f1c-8914-e9ea9054c29f-01,update-add,"Änderung Submissionstermin.

Ursprünglicher Submissionstermin: 22.09.2026 9:00 Uhr
Neuer Submissionstermin: 30.09.2026 9:00 Uhr"
531ef96a-411b-4e8d-9e60-ba326a97f149,01,,1e2e1a77-a06c-4b52-82ae-0c1d0d0c410a-01,cor-buy,"Änderung Eröffnungstermin, Bindefristende, Ausführungsfristen und Referenzen zu bestimmten Arbeiten"
d3432434-d211-4b5e-a23f-82df491ed7e6,01,,5620a511-71f3-4e44-bcce-f37952286cf8-01,update-add,
19472414-7e91-4b88-ac14-f8a29741a6f5,01,CON-0001,19541c73-c23a-4bb3-9719-c256c93db045-01,mod-cir,"VA 041 - Der Bahnsteig 1 an der VST Oberlahnstein soll in konventioneller Bauweise hergestellt werden. Für die bauliche Durchbildung des Bahnsteigs ist es notwendig, den gesamten Bahnsteig in gleicher Bauweise herzustellen. Aus diesem Grund wird die Leistung statt in modularer in konventioneller Bauweise ausgeführt."
1077025c-9104-45b0-8184-c7b1e3d129a7,01,,fe35744a-4262-4449-873c-f830120473bc-01,update-add,
499397aa-ef0e-4e1b-abc0-fc43d36f22b4,01,,a5667aa3-ad63-4df6-ac9e-72c6ae015e50-01,update-add,"Verlängerung der Angebotsfrist um eine Woche vom 03.09.2026, 10:00 Uhr auf den 09.09.2026, 10:00 Uhr."
03ddf5d7-0650-411f-a1ac-d0fca9374811,01,,7abb1e09-7c7b-4061-ae3a-d5bf690da54d-01,update-add,"Der nachzuweisende durchschnittliche Jahresumsatz unter dem Kriterium ""Allgemeiner Jahresumsatz"" wurde auf mindestens 80 Mio. EUR aktualisiert.  Die Teilnahmefrist wurde dementsprechend auf den 23.09.2026 um 14 Uhr verlängert."
93fe2072-3b93-4cfb-a11e-5e9a8297a9ee,01,,2cb01350-6ee8-4ef8-b244-d82ca7bbf053-01,cor-pub,"Anpassung des Ortes unter 5.1. Los: LOT-0005, 5.1.2. Erfüllungsort"
87865198-cdf9-4dd6-bd2d-f1e92723c465,01,CON-0001,efc90732-a542-4968-a239-6a2aab49f241-01,add-wss,"AvL - 226 - Der AN, welcher die übrigen Leistungen im Zusammenhang mit den Arbeiten in dem betroffenen Bereich erbringt, hat das entsprechende Personal und Geräte bereits vor Ort und kann die Leistungen ohne Verzögerung ausführen.
Eine Vergabe der Leistung an einen Dritten AN hätte zur Folge, dass dieser zunächst gebunden werden müsste, was Zeit- und Finanzressourcen benötigt. In der Zwischenzeit würden die dazugehörigen Arbeiten ruhen, was die Gesamtinbetriebnahme gefährden würde.
AvL - 304 - Der AN, welcher bereits vor Ort ist, führt auch die üblichen vertraglich geschuldeten Leistungen im Zusammenhang mit der Leistung durch. Er hat die dafür erforderlichen Geräte und Facharbeiter bereits vor Ort. Diese können die zusätzlichen Leistungen ohne Unterbrechung oder neue Anreisen mit ausführen.
Würde man die Leistung an einen zusätzlichen AN vergeben, müsste dieser zunächst gebunden werden, sich einarbeiten und seine Leistungen in den Bauablauf der anderen AN integrieren. Warte- und Unterbrechunsgzeiten sind die Folge. Währenddessen könnten die Arbeiten nicht fortgesetzt werden. Bedingt dadurch würden die ohnehin knappen zeitlichen Verhältnisse nicht mehr für eine Termingerechte Fertigstellung ausreichen. Die Leistungen befinden sich auf dem kritischen Weg bezüglich der weiteren Leistungen bis hin zur IBN.
Unterbrechungen können somit IBN-relevant werden, was zwingend vermieden werden sollte. Darüber hinaus würden behinderungsbedingte Mehrkosten zu erwarten sein.
AvL - 312 - Der AN, welcher bereits vor Ort ist, führt auch die üblichen vertraglich geschuldeten Leistungen im Zusammenhang mit der Leistung durch. Er hat die dafür erforderlichen Geräte und Facharbeiter bereits vor Ort. Diese können die zusätzlichen Leistungen ohne Unterbrechung oder neue Anreisen mit ausführen.
Würde man die Leistung an einen zusätzlichen AN vergeben, müsste dieser zunächst gebunden werden, sich einarbeiten und seine Leistungen in den Bauablauf der anderen AN integrieren. Warte- und Unterbrechunsgzeiten sind die Folge. Währenddessen könnten die Arbeiten nicht fortgesetzt werden. Bedingt dadurch würden die ohnehin knappen zeitlichen Verhältnisse nicht mehr für eine Termingerechte Fertigstellung ausreichen. Die Leistungen befinden sich auf dem kritischen Weg bezüglich der weiteren Leistungen bis hin zur IBN.
Unterbrechungen können somit IBN-relevant werden, was zwingend vermieden werden sollte. Darüber hinaus würden behinderungsbedingte Mehrkosten zu erwarten sein.
AvL - 313 - Der AN, welcher bereits vor Ort ist, führt auch die üblichen vertraglich geschuldeten Leistungen im Zusammenhang mit der Leistung durch. Er hat die dafür erforderlichen Geräte und Facharbeiter bereits vor Ort. Diese können die zusätzlichen Leistungen ohne Unterbrechung oder neue Anreisen mit ausführen.
Würde man die Leistung an einen zusätzlichen AN vergeben, müsste dieser zunächst gebunden werden, sich einarbeiten und seine Leistungen in den Bauablauf der anderen AN integrieren. Warte- und Unterbrechunsgzeiten sind die Folge. Währenddessen könnten die Arbeiten nicht fortgesetzt werden. Bedingt dadurch würden die ohnehin knappen zeitlichen Verhältnisse nicht mehr für eine Termingerechte Fertigstellung ausreichen. Die Leistungen befinden sich auf dem kritischen Weg bezüglich der weiteren Leistungen bis hin zur IBN.
Unterbrechungen können somit IBN-relevant werden, was zwingend vermieden werden sollte. Darüber hinaus würden behinderungsbedingte Mehrkosten zu erwarten sein.
AvL - 314 - Der AN, welcher bereits vor Ort ist, führt auch die üblichen vertraglich geschuldeten Leistungen im Zusammenhang mit der Leistung durch. Er hat die dafür erforderlichen Geräte und Facharbeiter bereits vor Ort. Diese können die zusätzlichen Leistungen ohne Unterbrechung oder neue Anreisen mit ausführen.
Würde man die Leistung an einen zusätzlichen AN vergeben, müsste dieser zunächst gebunden werden, sich einarbeiten und seine Leistungen in den Bauablauf der anderen AN integrieren. Warte- und Unterbrechunsgzeiten sind die Folge. Währenddessen könnten die Arbeiten nicht fortgesetzt werden. Bedingt dadurch würden die ohnehin knappen zeitlichen Verhältnisse nicht mehr für eine Termingerechte Fertigstellung ausreichen. Die Leistungen befinden sich auf dem kritischen Weg bezüglich der weiteren Leistungen bis hin zur IBN.
Unterbrechungen können somit IBN-relevant werden, was zwingend vermieden werden sollte. Darüber hinaus würden behinderungsbedingte Mehrkosten zu erwarten sein.
AvL - 318 - Der AN, welcher bereits vor Ort ist, führt auch die üblichen vertraglich geschuldeten Leistungen im Zusammenhang mit der Leistung durch. Er hat die dafür erforderlichen Geräte und Facharbeiter bereits vor Ort. Diese können die zusätzlichen Leistungen ohne Unterbrechung oder neue Anreisen mit ausführen.
Würde man die Leistung an einen zusätzlichen AN vergeben, müsste dieser zunächst gebunden werden, sich einarbeiten und seine Leistungen in den Bauablauf der anderen AN integrieren. Warte- und Unterbrechunsgzeiten sind die Folge. Währenddessen könnten die Arbeiten nicht fortgesetzt werden. Bedingt dadurch würden die ohnehin knappen zeitlichen Verhältnisse nicht mehr für eine Termingerechte Fertigstellung ausreichen. Die Leistungen befinden sich auf dem kritischen Weg bezüglich der weiteren Leistungen bis hin zur IBN.
Unterbrechungen können somit IBN-relevant werden, was zwingend vermieden werden sollte. Darüber hinaus würden behinderungsbedingte Mehrkosten zu erwarten sein."
22ada15a-2249-4bd4-a671-8e8897670f68,01,CON-0001,efc90732-a542-4968-a239-6a2aab49f241-01,add-wss,"AvL - 320 - Der AN, welcher bereits vor Ort ist, führt auch die üblichen vertraglich geschuldeten Leistungen im Zusammenhang mit der Leistung durch. Er hat die dafür erforderlichen Geräte und Facharbeiter bereits vor Ort. Diese können die zusätzlichen Leistungen ohne Unterbrechung oder neue Anreisen mit ausführen.
Würde man die Leistung an einen zusätzlichen AN vergeben, müsste dieser zunächst gebunden werden, sich einarbeiten und seine Leistungen in den Bauablauf der anderen AN integrieren. Warte- und Unterbrechunsgzeiten sind die Folge. Währenddessen könnten die Arbeiten nicht fortgesetzt werden. Bedingt dadurch würden die ohnehin knappen zeitlichen Verhältnisse nicht mehr für eine Termingerechte Fertigstellung ausreichen. Die Leistungen befinden sich auf dem kritischen Weg bezüglich der weiteren Leistungen bis hin zur IBN.
Unterbrechungen können somit IBN-relevant werden, was zwingend vermieden werden sollte. Darüber hinaus würden behinderungsbedingte Mehrkosten zu erwarten sein.
AvL - 321 - Der AN, welcher bereits vor Ort ist, führt auch die üblichen vertraglich geschuldeten Leistungen im Zusammenhang mit der Leistung durch. Er hat die dafür erforderlichen Geräte und Facharbeiter bereits vor Ort. Diese können die zusätzlichen Leistungen ohne Unterbrechung oder neue Anreisen mit ausführen.
Die Leistungen sind für die vertragsgemäße Ausführung notwendig und unmittelbar mit den beauftragten Arbeiten verknüpft. Ein ANWechsel wäre nicht zweckmäßig und mit erheblichen Zusatzkosten verbunden."
89cb5b35-440d-4641-86a9-c4d96eb3adc6,01,CON-0000,440806-2017,add-wss,"Die vorgesehenen zusätzlichen Planungsleistungen BOL/BÜ stehen in unmittelbarem Zusammenhang mit den bereits beauftragten Leistungen des Hauptvertrages. Ein separates Vergabeverfahren ist nicht zweckmäßig.
 
Die Fäll- und Rodungsarbeiten sind zwingende Voraussetzung für die nachfolgenden Bauleistungen. Die damit verbundenen Planungsleistungen sind funktional mit den bestehenden Aufgaben der BOL/BÜ verbunden. Eine Trennung der Zuständigkeiten würde zu Schnittstellenproblemen und erhöhtem Koordinationsaufwand führen."
40c92953-19e6-4dd6-beac-39c302fd25cc,01,CON-0000,754024-2024,add-wss,"Das Ausgangsverfahren lag über dem Schwellenwert, der Auftrag ist nicht abgeschlossen und es sind weitere Dienstleistungen erforderlich geworden, ein Wechsel des Auftragnehmers ist aber aus wirtschaftlichen oder technischen Gründen unmöglich und wäre folglich mit erheblichen Schwierigkeiten/Zusatzkosten verbunden und der Auftragswert der Änderung beträgt max. 50% des ursprünglichen Auftragswerts (§ 132 Abs. 2 Nr. 2 a) und b) GWB). In der Projektumsetzung hat sich herausgestellt, dass die Anforderungen der MHH sich teilweise geändert haben und diese ausschließlich durch den aktuellen Auftragnehmer sichergestellt werden können."
01a0a3e8-422f-4756-96c5-d2a2a05e53bf,01,,01a066c2-62dc-4a1b-8878-ce9b1e0f9e19-01,cor-pub,"Eignungskriterium allgemeiner Jahresumsatz: Nachweis des durchschnittlichen Honorarumsatzes des Bewerbers/ der Bietergemeinschaft für die Jahre 2023 – 2025 in Höhe von ""mindestens 5.000.000 EUR netto pro Jahr"" wird auf die Formulierung ""mindestens 500.000 EUR netto pro Jahr"" korrigiert"
a9485f5f-9d7f-4d89-b14e-948fc88864b9,01,CON-0001,104516-2022,add-wss,"145:
Aufgrund der begrenzten Ausführungszeit und des überaus hohen Aufwands für die Schweißnahtprüfung durch das zuständige Überwachungsunternehmen wurde in Abstimmung mit dem Auftraggeber entschie-den, anstelle des ursprünglich vorgesehenen Stahlrohres ein Polymerbetonrohr einzusetzen. Die Material-änderung war erforderlich, um die terminlichen Vorgaben einzuhalten und den erheblichen Prüfaufwand zu vermeiden. Zusätzliche Kosten entstehen aus folgenden Gründen: Das Stahlrohr war bereits geliefert, so-dass die Beschaffung des Polymerbetonrohres zusätzlich erfolgt.

146:
Im Zuge der Bauausführung war es notwendig, eine zusätzliche Querung im Bereich km 118,3 Marienehe herzustellen. Diese Arbeiten konnten nur in der nächtlichen Betriebsruhe durchgeführt werden, wodurch Personal und Technik umorganisiert werden mussten.     

148:
Nach erfolgreicher und übergebener Ausführungsplanung wurde im Zuge der Bauausführung durch den AG angeordnet, ein separates Planungspaket für die Feuerwehrzufahrt km 116,4+65 - km 116,6+20 Strecke 6325 sowie ein separates Planpaket für den Zeitraum ab 01.12.2025 zu erstellen."
d67d21b0-4b54-4ba6-96e2-3b6b23819299,01,,ec8a0a1f-b03d-4e94-8fdd-0a80a4b3542c-01,cor-buy,Die ursprüngliche Anzahl der Arbeitstage in den Ausführungsfristen wird von 33 Tage auf 75 Tage korrigiert. Zudem wird die voraussichtliche Zeitplanung angepasst.
1b85bfe4-fb5b-49bb-84de-474fa2eb9ef5,01,,bc66f13c-54b2-4adc-9541-b3bf2be63a1d-01,cor-buy,Ziff. 5.1 Korrektur Angaben zur Eventualleistung
adbbb2a3-a548-485c-b584-b649f0cff1b3,01,,8424788f-a5b2-48b2-9d4b-c20cf8437fa8-01,cor-pub,Planunterlagen wurden aktualisiert und vollständig ersetzt
5cbe1b0e-18eb-4c76-90b1-d36ed71801c1,01,,49c4e5f0-811b-4396-92e5-d165efb53142-01,update-add,
892cd313-409d-4d28-89fb-e9c5c15b141b,01,CON-0000,9ddb8627-1f2d-4965-aa62-6c681da0efe8-01,add-wss,"Im Bauverlauf wurden zusätzliche Leistungen für die Flankendämmung in den Dach- und Dachschrägenbereichen des Nordtrakts im 2. OG erforderlich. Anstelle der ursprünglich vorgesehenen Ausführung mit Multipor und Calciumsilikat wurde in Teilbereichen durch den Bauphysiker Foamglas vorgesehen. Nach dem vorliegenden Nachtragsangebot umfasst dies im Wesentlichen die Lieferung und Montage der Schaumglas-Dämmung einschließlich Voranstrich, Verankerung, Gewebearmierung, Oberputz sowie ergänzender Putz- und Ausgleichsarbeiten an Decken und Unterzügen. Die Leistungen waren nicht Bestandteil der ursprünglichen Beauftragung. Ein Wechsel des Auftragnehmers im Rahmen einer Neuausschreibung kann aus wirtschaftlichen und technischen Gründen nicht erfolgen und wäre mit erheblichen Schwierigkeiten oder beträchtlichen Zusatzkosten verbunden gewesen."
40a54a1a-4422-4c9b-b817-9b085061ad44,01,,a2bc1b3a-1537-4304-a042-57fec09c3ec3-01,update-add,"Aufgrund eingegangener Bieterfragen und deren Beantwortung sowie die zeitliche Möglichkeit für die Unternehmen diese zu berücksichtigen, wurde die Angebotsfrist angepasst."
a673c7df-5a09-4230-a1f0-8c32c383c6a7,01,CON-0001,82cfc767-2b76-474a-9a2f-d99b6fc4baa1-01,mod-cir,"Zur Zeit der Ausschreibung waren die in den ""Zusätzlichen Anforderungen zum WLAN-Ausbau und zur strukturierten Gebäudeverkabelung in Liegenschaften der Stadt Ratingen"" geforderten Qualitäten und Forderungen noch nicht durch die Stadt Ratingen formuliert. Um die nun geltenden Bestimmungen der Stadt Ratingen im Neubau umzusetzen, sind die hier geforderten Mehrkosten des Totalunternehmers entstanden."
25ffc2dd-ffb6-484b-9642-475359ac01fc,01,,a7c080d3-a27d-4a1c-9054-b252458c05cc-01,update-add,"Änderung Anlage 1 und Fristverlängerung Angebotsabgabe 28.09.2026, 10.00 Uhr"
f2c6fd75-9a61-4140-a51a-5c616ff7c99d,01,,29604dc8-54e0-4096-b5af-84fa6547132e-01,cor-buy,
1dcf98ce-459c-4042-9b70-dcc925ded5e5,01,,8bfae313-5d22-4ae6-bfdd-6ee83e7de51d-01,cor-buy,"Verschiebung der Angebotsfrist auf den 23.09.2026, 10:00 Uhr. Auf eine Korrektur des Formblattes A00_911-AI EU_Aufforderung Angebot wird aufgrund der Kurzfristigkeit verzichtet."
0a084d8e-b409-46c3-8f38-42d0c38f4087,01,,6a467b6a-d681-4cba-ad77-c961db25f642-01,update-add,Änderung der Sektion 5.1.9
f8f990a2-b9fb-452d-8a21-a403a2239e46,01,,05f8b27c-f630-4260-a9d1-2c860fb41abc-01,update-add,Änderung Angebotsfrist
0438fc4d-f4e0-43f1-8124-783654473a06,01,,2bf1e93b-4303-4135-920c-2485c4d6288c-01,cor-buy,Veröffentlichungsdauer vom 05.10.2026 auf 08.10.2026 verlängert
31c84d33-8204-4aeb-9bdc-6b03fe02d7b6,01,CON-0000,800906-2025,mod-cir,"Im Zuge der ursprünglichen Beauftragung wurde die Objekt- und Fachplanung für die vom Rat am 13.04.2026 als Vorzugsvariante bestätigte Variante 3 vollständig bis zur Leistungsphase 4 (einschließlich der Einreichung des Förderantrags nach Föri-kom-Stra) erbracht.
Im Anschluss wurde ein Bürgerbegehren gemäß § 26 GO NRW gegen den Ratsbeschluss eingereicht. Nach Feststellung der förmlichen Zulässigkeit und des Erreichens des Quorums (§ 26 Abs. 4 GO NRW) hat der Rat der Hansestadt Herford in seiner Sitzung am 10.07.2026 (Vorlage RA/83/2026) dem Bürgerbegehren gemäß § 26 Abs. 6 Satz 4 GO NRW vollumfänglich stattgegeben. Hierdurch wurde die Umsetzung der Variante 2 (zweispuriger Ausbau) verbindlich beschlossen.
Die Notwendigkeit zur erneuten Durchführung der HOAI-Leistungsphasen 3 und 4 für die nunmehr festgelegte Variante 2 beruht direkt auf diesem nachträglichen, kommunalverfassungsrechtlichen Verfahren und dem anschließenden Ratsbeschluss. Diese Umstände waren für die Hansestadt Herford als Auftraggeberin zum Zeitpunkt der ursprünglichen EU-weiten Auftragsvergabe nicht vorhersehbar. Der Gesamtcharakter des Planungsauftrags (Planung der Verkehrsanlage) bleibt dabei unverändert."
